date : 02:00 27/09/2022 | % : -1.42% | value : 464.49298004657084$ 
date : 02:00 28/09/2022 | % : 1.72% | value : 464.49298004657084$ 
date : 02:00 29/09/2022 | % : 0.91% | value : 464.49298004657084$ 
date : 02:00 30/09/2022 | % : -0.16% | value : 464.49298004657084$ 
date : 02:00 01/10/2022 | % : 0.58% | value : 464.49298004657084$ 
date : 02:00 02/10/2022 | % : 1.35% | value : 464.49298004657084$ 
date : 02:00 03/10/2022 | % : 2.68% | value : 464.49298004657084$ 
date : 02:00 04/10/2022 | % : 3.38% | value : 464.49298004657084$ 
date : 02:00 05/10/2022 | % : 0.89% | value : 464.49298004657084$ 
date : 02:00 06/10/2022 | % : 0.99% | value : 464.49298004657084$ 
date : 02:00 07/10/2022 | % : 2.28% | value : 464.49298004657084$ 
date : 02:00 08/10/2022 | % : 0.58% | value : 464.49298004657084$ 
date : 02:00 09/10/2022 | % : 0.12% | value : 464.49298004657084$ 
date : 02:00 10/10/2022 | % : 1.52% | value : 464.49298004657084$ 
date : 02:00 11/10/2022 | % : 0.54% | value : 464.49298004657084$ 
date : 02:00 12/10/2022 | % : 0.50% | value : 464.49298004657084$ 
date : 02:00 13/10/2022 | % : -0.15% | value : 464.49298004657084$ 
date : 02:00 14/10/2022 | % : 0.39% | value : 464.49298004657084$ 
date : 02:00 15/10/2022 | % : 0.56% | value : 464.49298004657084$ 
date : 02:00 16/10/2022 | % : 1.02% | value : 464.49298004657084$ 
date : 02:00 17/10/2022 | % : 1.47% | value : 464.49298004657084$ 
date : 02:00 18/10/2022 | % : 1.21% | value : 464.49298004657084$ 
date : 02:00 19/10/2022 | % : 1.06% | value : 464.49298004657084$ 
date : 02:00 20/10/2022 | % : 0.49% | value : 464.49298004657084$ 
date : 02:00 21/10/2022 | % : 0.38% | value : 464.49298004657084$ 
date : 02:00 22/10/2022 | % : 0.21% | value : 464.49298004657084$ 
date : 02:00 23/10/2022 | % : 1.06% | value : 464.49298004657084$ 
date : 02:00 24/10/2022 | % : 1.25% | value : 464.49298004657084$ 
date : 02:00 25/10/2022 | % : 3.12% | value : 464.49298004657084$ 
date : 02:00 26/10/2022 | % : 3.36% | value : 464.49298004657084$ 
